sample_id,sample_index,degradation_types,degradation_levels,tool_name,tool_description,success,baseline_psnr,baseline_ssim,baseline_lpips,restored_psnr,restored_ssim,restored_lpips,psnr_improvement,ssim_improvement,lpips_improvement
sample_41,41,noise,medium,mprnet_denoising,MPRNet去噪,True,28.163633942870486,0.6950908562617317,0.14743806421756744,31.027910438588485,0.8961979783825034,0.21909478306770325,2.8642764957179985,0.20110712212077164,-0.0716567188501358
sample_41,41,noise,medium,mprnet_motion_deblurring,MPRNet运动去模糊,True,28.163633942870486,0.6950908562617317,0.14743806421756744,24.716745382651983,0.6535788112690261,0.2782379686832428,-3.446888560218504,-0.041512044992705666,-0.13079990446567535
sample_41,41,noise,medium,mprnet_deraining,MPRNet去雨,True,28.163633942870486,0.6950908562617317,0.14743806421756744,29.05502038610142,0.7527612463369734,0.12546002864837646,0.8913864432309317,0.05767039007524166,0.02197803556919098
sample_41,41,noise,medium,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,28.163633942870486,0.6950908562617317,0.14743806421756744,30.91630977586393,0.7953547365894096,0.17025816440582275,2.752675832993443,0.10026388032767786,-0.02282010018825531
sample_41,41,noise,medium,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,28.163633942870486,0.6950908562617317,0.14743806421756744,30.21765990331263,0.7978751659751225,0.12475700676441193,2.054025960442143,0.10278430971339081,0.022681057453155518
sample_41,41,noise,medium,dehazeformer_dehaze,DehazeFormer去雾,True,28.163633942870486,0.6950908562617317,0.14743806421756744,14.889768521723978,0.5388950322676382,0.2863810062408447,-13.273865421146509,-0.15619582399409349,-0.13894294202327728
sample_42,42,jpeg compression artifact,high,swinir_denoising,SwinIR去噪,True,32.638249658241115,0.9061131862557356,0.14590699970722198,33.76547171076465,0.9215880619554913,0.17829973995685577,1.1272220525235355,0.015474875699755697,-0.03239274024963379
sample_42,42,jpeg compression artifact,high,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,32.638249658241115,0.9061131862557356,0.14590699970722198,35.23960021836517,0.945899466129715,0.09785731136798859,2.601350560124054,0.039786279873979424,0.0480496883392334
sample_42,42,jpeg compression artifact,high,swinir_super_resolution,SwinIR超分辨率,True,32.638249658241115,0.9061131862557356,0.14590699970722198,30.929440524282885,0.8824422644487656,0.21842527389526367,-1.7088091339582299,-0.023670921806969947,-0.07251827418804169
sample_42,42,jpeg compression artifact,high,restormer_motion_deblurring,Restormer运动去模糊,True,32.638249658241115,0.9061131862557356,0.14590699970722198,31.475798751134484,0.8955279022911128,0.16005390882492065,-1.1624509071066313,-0.010585283964622771,-0.01414690911769867
sample_42,42,jpeg compression artifact,high,restormer_defocus_deblurring,Restormer散焦去模糊,True,32.638249658241115,0.9061131862557356,0.14590699970722198,27.526626318311788,0.8875318887493249,0.16829803586006165,-5.111623339929327,-0.018581297506410688,-0.02239103615283966
